havg	hmax	hmin	hv	savg	smax	smin	sv	vavg	vmax	vmin	vv	frame_edges_comp	frame_comp
4919888793600.0	179.0	0.0	3172.23384212336	1913866752000.0	255.0	0.0	1632.041222157701	13214832967680.0	255.0	1.0	6819.396304877918	1037.75	902.652559055118
4918327234560.0	179.0	0.0	3168.670589812162	1915175178240.0	255.0	0.0	1634.454921920003	13214988042240.0	255.0	0.0	6822.325503003375	1087.25	960.631484483557
4935812935680.0	179.0	0.0	3189.537814493635	1908211384320.0	255.0	0.0	1626.303246120983	13215791493120.0	255.0	0.0	6822.425801136749	980.5	1014.9368805002314
4947658383360.0	179.0	0.0	3231.250145316251	1900193587200.0	255.0	0.0	1614.2019551982244	13216752230400.0	255.0	0.0	6821.031727157784	915.25	1011.0717230199164
4958376407040.0	179.0	0.0	3267.7399649610197	1890859315200.0	255.0	0.0	1590.0235840768705	13217652695040.0	255.0	0.0	6820.662543764772	997.0	1018.8620773506251
4971378892800.0	179.0	0.0	3302.1159987811407	1884045926400.0	255.0	0.0	1577.2849690753512	13218233917440.0	255.0	0.0	6822.210689359898	904.0	1013.2659410220779
4981854105600.0	179.0	0.0	3326.6694463999966	1877307678720.0	255.0	0.0	1566.0504315575495	13218770964480.0	255.0	0.0	6822.288073271255	879.75	1007.8122896402654
4978786836480.0	179.0	0.0	3329.508323244943	1877960171520.0	255.0	0.0	1567.7604693319536	13218645565440.0	255.0	0.0	6821.449627215111	881.75	1076.6611046780915
4992569487360.0	179.0	0.0	3310.8743546541114	1881549926400.0	255.0	0.0	1563.060815547636	13218836336640.0	255.0	0.0	6823.517977194035	838.75	1147.1506175698623
5005033021440.0	179.0	0.0	3286.094066421594	1886226370560.0	255.0	0.0	1577.751331196287	13218994544640.0	255.0	0.0	6824.068726836884	854.75	1148.8050563532497
5014378045440.0	179.0	0.0	3278.6184861616352	1887948840960.0	255.0	0.0	1574.2654366432616	13218407854080.0	255.0	0.0	6826.890205890793	1037.5	1198.2942450208427
5026019942400.0	179.0	0.0	3283.6288230517075	1891789332480.0	255.0	0.0	1579.8260242864399	13216428318720.0	255.0	0.0	6836.8882761229615	1278.75	1215.903107148371
5033636229120.0	179.0	0.0	3282.631429462783	1895719587840.0	255.0	0.0	1586.997344996272	13213938831360.0	255.0	0.0	6850.692902483737	1557.25	1219.1655627605371
5028316446720.0	179.0	0.0	3296.0880438841505	1898679951360.0	255.0	0.0	1605.000334649637	13209725091840.0	255.0	0.0	6869.148521222135	1771.5	1274.173610467809
5019140628480.0	179.0	0.0	3310.4099114251458	1905097789440.0	255.0	0.0	1629.1807618703947	13204202434560.0	255.0	1.0	6892.935965162456	1844.75	1277.7814960629921
5005483438080.0	179.0	0.0	3299.434960618687	1914256465920.0	255.0	0.0	1670.432512899759	13198329446400.0	255.0	1.0	6916.949328759023	1839.5	1341.8897637795276
4993008967680.0	179.0	0.0	3285.117517265087	1922313093120.0	255.0	0.0	1710.6969349629508	13194401464320.0	255.0	1.0	6932.368008841134	1820.0	1378.125
4987401768960.0	179.0	0.0	3270.6275729341396	1929659904000.0	255.0	0.0	1741.9377800001887	13192781967360.0	255.0	1.0	6940.198736494817	1844.5	1407.731299212598
4977309757440.0	179.0	0.0	3258.3095932101883	1929178337280.0	255.0	0.0	1754.5526642300179	13195452149760.0	255.0	1.0	6933.430046917079	1856.0	1515.7578740157478
4983157800960.0	179.0	0.0	3264.150867391014	1920013209600.0	255.0	0.0	1731.6282642803722	13202931056640.0	255.0	1.0	6915.896919827207	1851.25	1579.7125984251966
5003571609600.0	179.0	0.0	3270.0631942017235	1902134845440.0	255.0	0.0	1670.616961167293	13217856368640.0	255.0	1.0	6875.945128007475	1802.5	1724.459645669291
5020893143040.0	179.0	0.0	3247.9149491952044	1884847841280.0	255.0	0.0	1586.5744817191019	13239392133120.0	255.0	1.0	6820.663574312909	1749.5	1786.3543307086613
5036975185920.0	179.0	0.0	3217.364714364645	1863860674560.0	255.0	0.0	1493.4092177663806	13265501368320.0	255.0	1.0	6752.544223558013	1676.0	1730.6948818897638
5058942750720.0	179.0	0.0	3163.25356838577	1848476344320.0	255.0	0.0	1410.8216132806356	13292777472000.0	255.0	1.0	6683.268049729283	1542.25	1609.1742125984251
5071870894080.0	179.0	0.0	3095.5269705122837	1839076392960.0	255.0	0.0	1345.5623528625702	13318206197760.0	255.0	1.0	6615.871852970812	1389.25	1402.25
5074685521920.0	179.0	0.0	3038.2535966479086	1834594775040.0	255.0	0.0	1315.7289650728546	13338688696320.0	255.0	1.0	6559.7879035088545	1235.75	1223.918307086614
5081746329600.0	179.0	0.0	3014.148386246713	1828252631040.0	255.0	0.0	1294.6088222190647	13352648540160.0	255.0	1.0	6518.85995432663	1059.5	1072.0078740157478
5085539266560.0	177.0	0.0	3003.5773809692064	1825398005760.0	255.0	0.0	1281.2299169492721	13360855695360.0	255.0	1.0	6494.298757366604	975.75	983.3631889763778
5086218854400.0	170.0	0.0	3005.510164997482	1824955146240.0	255.0	0.0	1276.7538764968658	13365376634880.0	255.0	1.0	6477.724146889125	909.0	932.5423228346456
5093117276160.0	170.0	0.0	3010.453607859855	1822940344320.0	255.0	0.0	1265.146829515849	13368497602560.0	255.0	1.0	6466.763524940575	851.75	896.1466535433069
5092890439680.0	170.0	0.0	3011.162170283307	1824580669440.0	255.0	0.0	1265.0942450989724	13369025064960.0	255.0	1.0	6464.064025492487	887.0	898.0679133858267
5090920058880.0	170.0	0.0	3003.140396116564	1827187691520.0	255.0	0.0	1269.3359530742327	13367729786880.0	255.0	1.0	6467.158991413084	1000.75	927.6663385826771
5096044277760.0	174.0	0.0	3031.7184765531	1815669596160.0	255.0	0.0	1243.3647651977328	13368396042240.0	255.0	1.0	6473.5746832212335	1161.25	990.6092519685037
5093380976640.0	178.0	0.0	3023.3176769236347	1819436175360.0	255.0	0.0	1253.262175083934	13358850293760.0	255.0	1.0	6498.154507376184	1280.75	1205.88284678348
5070652231680.0	179.0	0.0	3041.3794246580014	1828612177920.0	255.0	0.0	1289.8915118914074	13339465666560.0	255.0	1.0	6545.285246609889	1450.25	1482.0627042420097
5034521272320.0	179.0	0.0	3049.358166602982	1845309358080.0	255.0	0.0	1351.35742686206	13307779891200.0	255.0	1.0	6628.3389442788875	1529.25	1793.9298302262614
4979923906560.0	179.0	0.0	3071.3507056604276	1880339435520.0	255.0	0.0	1510.4480513554572	13273077043200.0	255.0	1.0	6752.849534249635	1677.5	2385.2024680215372
4895118643200.0	179.0	0.0	3071.1793376542937	1964910735360.0	255.0	0.0	1821.5628125627413	13237509734400.0	255.0	1.0	6891.158085591487	2096.25	3210.3284795057734
4809155174400.0	179.0	0.0	3149.372557247183	2073116467200.0	255.0	0.0	2216.5168494851223	13202932899840.0	255.0	1.0	6997.043006363446	2668.25	4318.640748031496
4743722741760.0	179.0	0.0	3222.728721538427	2189860454400.0	255.0	0.0	2618.4128623603615	13184484003840.0	255.0	1.0	7065.434581088226	3305.0	5419.80320018051
4717123706880.0	179.0	0.0	3340.9443039711423	2302213140480.0	255.0	0.0	2993.313234175566	13189441413120.0	255.0	1.0	7092.622519498804	4040.25	6240.543521054433
4720418426880.0	179.0	0.0	3453.988993956258	2388049612800.0	255.0	0.0	3254.5871513624725	13205176258560.0	255.0	1.0	7083.567998843902	4523.75	5932.8948990071885
4752552284160.0	179.0	0.0	3550.375219369178	2434982154240.0	255.0	0.0	3386.9571354060176	13222716334080.0	255.0	1.0	7062.705208832973	4689.75	5019.49332420404
4807966126080.0	179.0	0.0	3604.061365903186	2433662853120.0	255.0	0.0	3377.7503807361386	13254995619840.0	255.0	0.0	7067.844946031284	4939.0	4359.5115421183245
4860355276800.0	179.0	0.0	3609.2819275415736	2421071339520.0	255.0	0.0	3344.5147852407026	13279158927360.0	255.0	0.0	7098.406069929142	4925.25	3474.2992704955986
4880034508800.0	179.0	0.0	3579.1616083849267	2409185894400.0	255.0	0.0	3316.618946814664	13282638151680.0	255.0	0.0	7136.063336481878	4943.5	3750.6211208893
4866920448000.0	179.0	0.0	3524.2411462834675	2416276746240.0	255.0	0.0	3348.6445974086655	13268076195840.0	255.0	0.0	7172.198370398997	4920.5	4362.148679944418
4838065582080.0	179.0	0.0	3464.7644717543817	2428911144960.0	255.0	0.0	3400.659492813353	13244369080320.0	255.0	0.0	7212.376655510743	4709.25	4381.844978385055
4793963765760.0	179.0	0.0	3403.197745017793	2442328903680.0	255.0	0.0	3461.913770804331	13216823439360.0	255.0	1.0	7240.494698240057	4424.5	4309.681102362205
4745163694080.0	179.0	0.0	3356.8175132774777	2454741565440.0	255.0	0.0	3527.3651656233674	13193633341440.0	255.0	1.0	7252.154439301914	3987.0	3582.1829580467456
4709377105920.0	179.0	0.0	3319.844900138643	2460498063360.0	255.0	0.0	3558.471544772518	13182986895360.0	255.0	1.0	7256.085870751	3677.5	2786.3083782017366
4702067343360.0	179.0	0.0	3312.0532373678	2458309632000.0	255.0	0.0	3557.9113232478667	13184079052800.0	255.0	1.0	7249.285404673661	3550.75	2634.888884566307
4701022433280.0	179.0	0.0	3317.4255977179955	2458791383040.0	255.0	0.0	3553.9153811929805	13189923287040.0	255.0	1.0	7235.546839947117	3653.0	2692.7658530702433
4703726223360.0	179.0	0.0	3330.710549081591	2468966154240.0	255.0	0.0	3570.8102379276274	13194777722880.0	255.0	1.0	7224.354018020015	3907.25	2817.1458871494815
4709963243520.0	179.0	0.0	3352.504360458289	2475713863680.0	255.0	0.0	3583.1598545435163	13198500126720.0	255.0	0.0	7213.852558235402	4161.0	3040.94911065668
